Strain	p11	p0006	p0017	p0017S	p002y	p003p	p0040	pyo
NRS248	0.9517	0.5112	0.313666667	0.2293	0.2557	0.2422	0.4453	0.239666667
NRS249	0.9258	0.7781	0.848666667	0.417	0.3841	0.4135	0.7446	0.391777778
NRS252	0.7788	0.6289	0.467833333	0.3525	0.3267	0.3477	0.4326	0.407666667
NRS253	0.6938	0.6188	0.5435	0.513	0.4013	0.4466	0.5675	0.555666667
NRS254	0.8319	0.4048	0.846666667	0.5427	0.3726	0.398	0.3801	0.214777778
NRS255	0.8189	1.001	0.766166667	0.6609	0.6189	0.7605	0.8638	0.711666667
NRS256	0.8314	0.5217	0.290833333	0.1961	0.2309	0.2246	0.5999	0.274555556
NRS259	0.9714	0.2709	0.282	0.1955	0.1967	0.2003	0.8947	0.314333333
NRS260	1.01	0.8701	0.303666667	0.4388	0.4839	0.3636	0.7754	0.433333333
NRS262	0.946	0.2403	0.215333333	0.148	0.1533	0.154	0.7025	0.181
NRS264	0.952	0.4079	0.522	0.2469	0.2576	0.2346	0.8053	0.321555556
NRS265	0.9263	0.8483	0.188833333	0.2337	0.5417	0.5919	0.5979	0.685111111
NRS266	1.0404	0.8352	0.441166667	0.3838	0.5619	0.6056	0.9333	0.642
NRS271	0.9334	0.7077	0.428333333	0.387	0.33	0.3773	0.5628	0.345777778
NRS272	0.9753	0.5464	0.4595	0.3037	0.2305	0.2672	0.7155	0.179
NRS275	0.6983	0.5457	0.825333333	0.3106	0.2798	0.2938	0.469	0.333888889
NRS383	0.9337	0.6061	0.763166667	0.4433	0.3195	0.3834	0.6704	0.400222222
NRS386	1.0121	0.9646	0.3345	0.388	0.4241	0.5135	0.746	0.499444444
NRS387	1.1048	0.7756	0.998833333	0.5412	0.4605	0.5077	0.969	0.523
NRS408	1.0094	0.9845	0.670666667	0.4349	0.4658	0.4882	0.7807	0.492333333
CFBRSa03	0.7795	0.408833333	0.197166667	0.174	0.1735	0.167666667	0.25275	0.15425
CFBRSa04	0.618125	0.400666667	0.217333333	0.173666667	0.16925	0.1725	0.575875	0.15475
CFBRSa05	1.0155	0.344333333	1.097333333	0.2115	0.200625	0.2115	0.387625	0.199875
CFBRSa06	1.096125	0.613166667	0.2475	0.212	0.259375	0.297666667	1.046625	0.257375
CFBRSa07	0.1945	0.216166667	0.651833333	0.177666667	0.190125	0.181	0.20175	0.160875
CFBRSa21	0.33475	0.324	0.526166667	0.274	0.287	0.305166667	0.306875	0.2335
CFBRSa22	0.91275	0.366666667	0.188333333	0.196	0.181375	0.176333333	0.863625	0.159625
CFBRSa23	0.65575	0.279	0.966333333	0.209333333	0.19675	0.201	0.82475	0.161125
CFBRSa24	0.525	0.372333333	0.2255	0.198	0.164375	0.171166667	0.30025	0.155375
CFBRSa25	1.01825	0.49	0.22	0.190166667	0.2105	0.219166667	0.915	0.1985
CFBRSa26	1.009125	0.270833333	0.567666667	0.165	0.169125	0.167	0.827	0.157125
CFBRSa27	0.419875	0.298666667	0.177	0.182833333	0.17275	0.182666667	0.333625	0.159875
CFBRSa28	0.64275	0.522	0.166666667	0.164666667	0.1685	0.161666667	0.5575	0.154125
CFBRSa29	1.1295	0.261666667	1.0885	0.17	0.167125	0.164	0.592	0.15725
CFBRSa30	0.339125	0.4315	0.931333333	0.318833333	0.314	0.3515	0.383625	0.211125
CFBRSa47	0.997625	0.381666667	0.193166667	0.189166667	0.194375	0.182333333	0.8055	0.15625
CFBRSa48	0.293125	0.2575	1.1785	0.187833333	0.198	0.1785	0.20025	0.1645
CFBRSa49	0.475375	0.473666667	0.905666667	0.294166667	0.23675	0.215	0.43075	0.175375
CFBRSa50	1.104625	0.3465	0.238	0.180166667	0.184625	0.169833333	0.230375	0.1555
CFBRSa51	0.582875	1.046333333	0.210166667	0.3425	0.308125	0.322166667	0.729625	0.164625
CFBRSa66A	0.881	0.206166667	0.226833333	0.177166667	0.19025	0.169666667	0.332	0.15425
CFBRSa66B	0.6145	0.1855	0.183833333	0.1775	0.169875	0.165666667	0.30225	0.155625
CFBRSa70	0.739	0.642166667	0.925833333	0.203166667	0.168	0.1855	0.33025	0.155625
CFBRSa74	0.9345	0.340166667	0.193833333	0.1655	0.162625	0.169333333	0.522	0.1565
CFBREBSa101	0.97175	0.203333333	0.509	0.165	0.164	0.175	0.779125	0.156625
CFBREBSa102	1.005	0.198333333	0.551166667	0.177	0.18225	0.169833333	0.838125	0.155125
CFBREBSa103	0.908625	0.2285	0.411166667	0.186333333	0.18375	0.1705	0.7585	0.154875
CFBREBSa104	1.032125	0.227166667	0.537	0.196333333	0.202875	0.177833333	0.86375	0.158875
CFBREBSa105	0.59275	0.281333333	0.17	0.187833333	0.2075	0.172166667	0.347125	0.15725
CFBREBSa108	0.968	0.407833333	0.207	0.198333333	0.2045	0.177833333	0.764125	0.16
CFBREBSa110	0.968	0.43	0.1985	0.191	0.191375	0.1695	0.778125	0.157875
CFBREBSa112	0.969	0.392	0.208666667	0.190833333	0.1945	0.17	0.8015	0.155
CFBREBSa114	0.95	0.407666667	0.434833333	0.194833333	0.19925	0.180833333	0.72925	0.1635
CFBREBSa116	0.981	0.4415	0.201833333	0.176666667	0.18	0.1655	0.69275	0.1555
CFBREBSa117	0.557875	0.268333333	0.200833333	0.172	0.1685	0.165833333	0.27925	0.154375
